area_code,reference_area,area_type,year,measure_type,value,units
S12000036,City of Edinburgh,Local Authority,2007,Ratio,6.7,Percent Of 16 to 19 Year Olds
S12000005,Clackmannanshire,Local Authority,2007,Count,280,16 to 19 Year Olds
S12000010,East Lothian,Local Authority,2007,Count,330,16 to 19 Year Olds
S12000036,City of Edinburgh,Local Authority,2007,Count,1540,16 to 19 Year Olds
S12000027,Shetland Islands,Local Authority,2007,Count,60,16 to 19 Year Olds
S12000039,West Dunbartonshire,Local Authority,2007,Count,540,16 to 19 Year Olds
S12000017,Highland,Local Authority,2007,Count,690,16 to 19 Year Olds
S12000026,Scottish Borders,Local Authority,2007,Count,300,16 to 19 Year Olds
S12000014,Falkirk,Local Authority,2007,Count,650,16 to 19 Year Olds
S12000047,Fife,Local Authority,2007,Count,1660,16 to 19 Year Olds
S12000041,Angus,Local Authority,2007,Count,410,16 to 19 Year Olds
S12000011,East Renfrewshire,Local Authority,2007,Count,200,16 to 19 Year Olds
S12000045,East Dunbartonshire,Local Authority,2008,Count,300,16 to 19 Year Olds
S12000018,Inverclyde,Local Authority,2008,Ratio,9.4,Percent Of 16 to 19 Year Olds
S12000033,Aberdeen City,Local Authority,2008,Count,670,16 to 19 Year Olds
S12000006,Dumfries and Galloway,Local Authority,2008,Ratio,9.2,Percent Of 16 to 19 Year Olds
S12000035,Argyll and Bute,Local Authority,2008,Ratio,7.9,Percent Of 16 to 19 Year Olds
S12000023,Orkney Islands,Local Authority,2008,Count,60,16 to 19 Year Olds
S12000021,North Ayrshire,Local Authority,2008,Ratio,11.9,Percent Of 16 to 19 Year Olds
S12000010,East Lothian,Local Authority,2008,Count,440,16 to 19 Year Olds
S12000047,Fife,Local Authority,2008,Count,1830,16 to 19 Year Olds
S12000005,Clackmannanshire,Local Authority,2008,Count,320,16 to 19 Year Olds
S12000027,Shetland Islands,Local Authority,2008,Count,60,16 to 19 Year Olds
S12000036,City of Edinburgh,Local Authority,2008,Ratio,7.4,Percent Of 16 to 19 Year Olds
S12000014,Falkirk,Local Authority,2008,Count,730,16 to 19 Year Olds
S12000040,West Lothian,Local Authority,2008,Count,990,16 to 19 Year Olds
