area_code,reference_area,area_type,year,business_demography,measure_type,value,units
S12000041,Angus,Local Authority,2014,De-Registrations,Count,280,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2014,De-Registrations,Count,365,De-Registrations
S12000042,Dundee City,Local Authority,2014,De-Registrations,Count,385,De-Registrations
S12000005,Clackmannanshire,Local Authority,2014,De-Registrations,Count,115,De-Registrations
S12000030,Stirling,Local Authority,2013,De-Registrations,Count,280,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2013,De-Registrations,Count,170,De-Registrations
S12000028,South Ayrshire,Local Authority,2013,De-Registrations,Count,305,De-Registrations
S12000029,South Lanarkshire,Local Authority,2013,De-Registrations,Count,845,De-Registrations
S12000033,Aberdeen City,Local Authority,2014,De-Registrations,Count,880,De-Registrations
S12000040,West Lothian,Local Authority,2013,De-Registrations,Count,395,De-Registrations
S12000014,Falkirk,Local Authority,2016,De-Registrations,Count,440,De-Registrations
S12000047,Fife,Local Authority,2016,De-Registrations,Count,1000,De-Registrations
S12000010,East Lothian,Local Authority,2016,De-Registrations,Count,285,De-Registrations
S12000011,East Renfrewshire,Local Authority,2016,De-Registrations,Count,280,De-Registrations
S12000019,Midlothian,Local Authority,2016,De-Registrations,Count,220,De-Registrations
S12000020,Moray,Local Authority,2016,De-Registrations,Count,280,De-Registrations
S12000017,Highland,Local Authority,2016,De-Registrations,Count,925,De-Registrations
S12000018,Inverclyde,Local Authority,2016,De-Registrations,Count,210,De-Registrations
S12000005,Clackmannanshire,Local Authority,2016,De-Registrations,Count,135,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2016,De-Registrations,Count,370,De-Registrations
S12000035,Argyll and Bute,Local Authority,2016,De-Registrations,Count,270,De-Registrations
S12000036,City of Edinburgh,Local Authority,2016,De-Registrations,Count,2230,De-Registrations
S12000008,East Ayrshire,Local Authority,2016,De-Registrations,Count,295,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2016,De-Registrations,Count,305,De-Registrations
S12000042,Dundee City,Local Authority,2016,De-Registrations,Count,425,De-Registrations
S12000030,Stirling,Local Authority,2016,De-Registrations,Count,350,De-Registrations
