area_code,reference_area,area_type,reference_period,indicator,value,units
S12000047,Fife,Local Authority,2005/2006,Waste Arisings (Tonnes),252904,Tonnes
S12000023,Orkney Islands,Local Authority,2006/2007,Waste Arisings (Tonnes),14801,Tonnes
S12000021,North Ayrshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),36.1,ktonnes
S12000041,Angus,Local Authority,2010/2011,Waste Arisings (Tonnes),72965,Tonnes
S12000041,Angus,Local Authority,2011/2012,Waste Arisings (Tonnes),75181,Tonnes
S12000035,Argyll and Bute,Local Authority,2010/2011,Waste Arisings (Tonnes),55148,Tonnes
S12000035,Argyll and Bute,Local Authority,2008/2009,Waste Arisings (Tonnes),59724,Tonnes
S12000036,City of Edinburgh,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),101.2,ktonnes
S12000036,City of Edinburgh,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),109.6,ktonnes
S12000035,Argyll and Bute,Local Authority,2011/2012,Waste Arisings (Tonnes),56360,Tonnes
S12000041,Angus,Local Authority,2006/2007,Waste Arisings (Tonnes),78526,Tonnes
S12000041,Angus,Local Authority,2007/2008,Waste Arisings (Tonnes),78185,Tonnes
S12000035,Argyll and Bute,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),682,Kg Per Capita
S12000041,Angus,Local Authority,2005/2006,Waste Arisings (Tonnes),73333,Tonnes
S12000035,Argyll and Bute,Local Authority,2009/2010,Waste Arisings (Tonnes),57516,Tonnes
S12000041,Angus,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),718,Kg Per Capita
S12000041,Angus,Local Authority,2009/2010,Waste Arisings (Tonnes),76780,Tonnes
S12000036,City of Edinburgh,Local Authority,2009/2010,Waste Arisings (Tonnes),226601,Tonnes
S12000036,City of Edinburgh,Local Authority,2011/2012,Waste Arisings (Tonnes),223222,Tonnes
S12000036,City of Edinburgh,Local Authority,2010/2011,Waste Arisings (Tonnes),221865,Tonnes
S12000041,Angus,Local Authority,2004/2005,Waste Arisings (Tonnes),77168,Tonnes
S12000036,City of Edinburgh,Local Authority,2008/2009,Waste Arisings (Tonnes),242247,Tonnes
S12000036,City of Edinburgh,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),93.7,ktonnes
S12000036,City of Edinburgh,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),125.9,ktonnes
S12000036,City of Edinburgh,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),91.3,ktonnes
S12000036,City of Edinburgh,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),120.8,ktonnes
S12000041,Angus,Local Authority,2008/2009,Waste Arisings (Tonnes),77369,Tonnes
